epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,322.087,2.90281,4.06575,2.63626,1.37562,0,0.6031,0.26145,0.26458,0.18461,0.55839,0.25132,0.24772,0.15175,2.87699,3.61122,2.22865,1.15229,0,0.00036961,0.00036961,0.00036961
2,760.882,2.59943,3.46126,1.89446,1.19985,0,0.61571,0.33797,0.34816,0.23052,0.47742,0.30968,0.30462,0.1895,2.73467,3.35856,1.8869,1.13144,0,0.000732618,0.000732618,0.000732618
3,1104.21,2.42705,3.23356,1.7116,1.16301,0,0.50651,0.38885,0.35397,0.20567,0.38368,0.33259,0.28476,0.16095,2.67218,3.29253,1.74096,1.11688,0,0.00108829,0.00108829,0.00108829
4,1413.79,2.32914,3.17467,1.61892,1.14163,0,0.507,0.40097,0.39579,0.25826,0.3942,0.35609,0.32862,0.20323,2.53385,3.24402,1.6499,1.08292,0,0.001078,0.001078,0.001078
5,1756.31,2.27632,3.01646,1.49916,1.10558,0,0.71685,0.40035,0.42031,0.27152,0.52379,0.33271,0.32084,0.20309,2.46273,3.00728,1.54588,1.05416,0,0.001067,0.001067,0.001067
6,2085.85,2.24687,2.99527,1.45877,1.09558,0,0.63923,0.43474,0.43933,0.29572,0.54933,0.34286,0.33681,0.22349,2.39417,3.0183,1.49928,1.03264,0,0.00105601,0.00105601,0.00105601
7,2404.46,2.2101,2.92617,1.41748,1.08514,0,0.6641,0.44955,0.452,0.31399,0.50127,0.3828,0.34486,0.23358,2.35872,2.88496,1.4225,1.00821,0,0.00104501,0.00104501,0.00104501
8,2700.71,2.1488,2.88683,1.36367,1.07246,0,0.65576,0.44384,0.45296,0.28826,0.46967,0.36959,0.34152,0.20968,2.35365,2.89209,1.42764,1.02133,0,0.00103401,0.00103401,0.00103401
9,3021.11,2.11169,2.80951,1.32691,1.05797,0,0.68477,0.4439,0.46654,0.29924,0.56435,0.34083,0.34199,0.2124,2.3212,2.83805,1.37313,1.00738,0,0.00102301,0.00102301,0.00102301
10,3312.96,2.08469,2.76724,1.28749,1.04566,0,0.66823,0.47509,0.47963,0.32742,0.49291,0.41525,0.36787,0.2425,2.23087,2.79804,1.31589,0.99349,0,0.00101201,0.00101201,0.00101201
11,3620.16,2.07174,2.78692,1.27094,1.02912,0,0.71886,0.47542,0.4914,0.32559,0.53941,0.40797,0.36888,0.22612,2.22225,2.74206,1.28187,0.97992,0,0.00100101,0.00100101,0.00100101
12,3956.1,2.01813,2.71721,1.24834,1.02875,0,0.72354,0.47109,0.4906,0.34174,0.52995,0.38985,0.35731,0.24491,2.17607,2.69625,1.25551,0.96677,0,0.000990012,0.000990012,0.000990012
13,4249.45,1.98087,2.66659,1.23657,1.02463,0,0.69334,0.47437,0.4958,0.34376,0.51256,0.39848,0.36681,0.23975,2.17193,2.71976,1.28222,0.96864,0,0.000979013,0.000979013,0.000979013
14,4559.56,1.99656,2.68376,1.19999,1.01436,0,0.68274,0.49036,0.50226,0.34025,0.51569,0.42168,0.37762,0.24376,2.16066,2.71559,1.23915,0.97136,0,0.000968014,0.000968014,0.000968014
15,4875.92,1.98483,2.66936,1.18688,1.01008,0,0.72851,0.46887,0.50214,0.34031,0.55629,0.38944,0.37118,0.24751,2.16716,2.66474,1.24093,0.96022,0,0.000957015,0.000957015,0.000957015
16,5203.98,1.96869,2.6047,1.1872,1.00896,0,0.71929,0.50314,0.51098,0.34338,0.52018,0.4212,0.36799,0.22867,2.13493,2.70383,1.22178,0.96226,0,0.000946016,0.000946016,0.000946016
17,5577.66,1.95324,2.61057,1.16278,1.00076,0,0.70748,0.51245,0.51785,0.35747,0.52408,0.43346,0.37465,0.24653,2.11395,2.61851,1.20266,0.94683,0,0.000935018,0.000935018,0.000935018
18,5949.45,1.91677,2.60657,1.15817,1.00095,0,0.72914,0.49924,0.51331,0.33522,0.53046,0.41736,0.36907,0.22314,2.14409,2.61839,1.22027,0.96813,0,0.000924019,0.000924019,0.000924019
19,6290,1.92655,2.56962,1.14775,0.99488,0,0.70635,0.51067,0.5198,0.3607,0.49083,0.42346,0.3616,0.24067,2.1124,2.61041,1.20901,0.94785,0,0.00091302,0.00091302,0.00091302
20,6643.92,1.90921,2.57031,1.13652,0.99503,0,0.78381,0.482,0.52831,0.3656,0.55581,0.39342,0.37422,0.24933,2.08259,2.56378,1.19129,0.94282,0,0.000902021,0.000902021,0.000902021
21,7020.29,1.89289,2.51554,1.11667,0.98657,0,0.70945,0.52535,0.52401,0.35418,0.50111,0.43055,0.35243,0.22856,2.09648,2.52071,1.17289,0.94949,0,0.000891022,0.000891022,0.000891022
22,7363.1,1.86734,2.49627,1.09606,0.98501,0,0.71128,0.52179,0.53218,0.35664,0.52626,0.4312,0.37858,0.23963,2.04841,2.54704,1.1534,0.94795,0,0.000880023,0.000880023,0.000880023
23,7702.09,1.87009,2.52374,1.10402,0.9787,0,0.74752,0.51474,0.53632,0.36275,0.5506,0.42376,0.38404,0.24539,2.06327,2.57426,1.14747,0.93878,0,0.000869024,0.000869024,0.000869024
24,8051.05,1.84849,2.53673,1.09101,0.9799,0,0.77024,0.51791,0.53649,0.37304,0.56773,0.42947,0.38446,0.25213,2.04315,2.53242,1.12687,0.92958,0,0.000858025,0.000858025,0.000858025
25,8410.56,1.8539,2.49232,1.08066,0.97673,0,0.72452,0.53147,0.53817,0.36809,0.51046,0.43673,0.37538,0.24238,2.02163,2.51189,1.12873,0.93358,0,0.000847026,0.000847026,0.000847026
26,8766.9,1.82877,2.45648,1.05769,0.96511,0,0.73158,0.53213,0.5407,0.36419,0.50282,0.43931,0.36555,0.23737,2.01093,2.5072,1.11274,0.93053,0,0.000836027,0.000836027,0.000836027
27,9077.17,1.82663,2.44545,1.06538,0.97045,0,0.74917,0.53911,0.54804,0.38455,0.55436,0.45218,0.38828,0.25177,1.98772,2.47677,1.10119,0.92763,0,0.000825029,0.000825029,0.000825029
28,9340.4,1.8052,2.44728,1.06239,0.96796,0,0.75138,0.54209,0.54564,0.3786,0.5376,0.45498,0.38412,0.24775,2.00725,2.44349,1.11118,0.93907,0,0.00081403,0.00081403,0.00081403
